"age";"q"
0;0.00392846649632106
1;0.000269655077795083
2;0.000234703216703602
3;0.000137271499933145
4;0.000152225537062178
5;8.89112813011739e-05
6;0.000116514469508888
7;5.85283057351615e-05
8;0.000117073741689455
9;0.000146754523444814
10;4.47918299627537e-05
11;0.000121628606898461
12;0.000198735734324051
13;0.000141840618187228
14;0.000144359165353269
15;0.000159915564241109
16;0.000155775371598721
17;0.000232401402658344
18;0.000387593889767723
19;0.00056932272136756
20;0.000586726425720663
21;0.000480653679761134
22;0.000521916764791519
23;0.000549808276676389
24;0.000630124113598307
25;0.000605811735560513
26;0.000590929219022929
27;0.000726069912829086
28;0.000638678050562169
29;0.000586858447903071
30;0.000602508608595897
31;0.000749573124619096
32;0.000725041797562831
33;0.00075673664014908
34;0.000957291066446042
35;0.000863425887636549
36;0.000898341970075212
37;0.00116205353490839
38;0.001179181939717
39;0.00130755058227761
40;0.00110798765768461
41;0.00126428380912136
42;0.00159839306912279
43;0.00163929983951872
44;0.0022806484771003
45;0.00173160129855099
46;0.00196092969594708
47;0.00251799103878347
48;0.00266095459804316
49;0.00286861176305597
50;0.00280214772394172
51;0.00366869531148539
52;0.00356680225032791
53;0.00399790052321758
54;0.00401142109759867
55;0.00512145219455939
56;0.00521141790236768
57;0.00658995089780223
58;0.0071372652070435
59;0.00795077817010714
60;0.0084866684447833
61;0.0103567123876563
62;0.010825688851962
63;0.0112533549079116
64;0.0117984033951212
65;0.0133109502266684
66;0.01525313400852
67;0.0166461806024997
68;0.0172740551061704
69;0.0198002839836072
70;0.0198009775636306
71;0.0212900553781007
72;0.0248449406283056
73;0.0275008300108699
74;0.0294925556945326
75;0.0329357727088462
76;0.0362504958868926
77;0.04076489019601
78;0.0427056529269542
79;0.0491842166401344
80;0.0535904631905952
81;0.0612794642932356
82;0.0687390985375663
83;0.0757499189999244
84;0.0863332418083403
85;0.101193281115747
86;0.110154857320362
87;0.122343807824511
88;0.142448684601455
89;0.152526634846258
90;0.181790911440267
91;0.201682722289818
92;0.215057609524749
93;0.23158461103352
94;0.25286118925928
95;0.289649277808968
96;0.303560772730091
97;0.320565369839859
98;0.363040338428746
99;0.43586616984077
100;0.397026694632894
101;0.54780907760345
102;0.557709986833872
103;0.50753571232459
104;0.527633447258985
105;1
